instnm,Control of institution,Undergraduate offering,Carnegie Classification 2010: Undergraduate Instructional Program,Carnegie Classification 2010: Basic,Carnegie Classification 2010: Undergraduate Profile,Carnegie Classification 2010: Enrollment Profile,Carnegie Classification 2010: Size and Setting,Longitude location of institution,Latitude location of institution,Average net price (income 75-001-110-000)-students receiving Title IV Federal financial aid-2010-11,Average net price (income over 110-000)-students receiving Title IV Federal financial aid- 2010-11,percent graduates Computer and Information Sciences and Support Services,To Visit
Spa Tech Institute-Ipswich,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-70.849390999999997,42.688621999999995,,22555.0,,
Spa Tech Institute-Westboro,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-71.635685999999993,42.285983999999999,18699.0,18699.0,,
Spa Tech Institute-Plymouth,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-70.704510999999997,41.958455999999998,16819.0,16819.0,,
Milan Institute of Cosmetology-San Antonio Walzem,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-98.382864999999995,29.511566999999999,21657.0,22157.0,,
Bridgemont Community and Technical College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Single Campus,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,-81.323474000000004,38.180425,,,,
Wards Corner Beauty Academy-Virginia Beach,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-76.17456700000001,36.857917999999998,,,,
Neumont University,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Other technology-related schools,Not applicable- special focus institution,Very high undergraduate,Not applicable- special focus institution,-111.911286,40.556598000000001,,,1.0,
Johnson & Wales University-Charlotte,Private not-for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Full-time four-year- inclusive,Exclusively undergraduate four-year,Small four-year- highly residential,-80.850899999999996,35.232939999999999,26151.0,29621.0,,
University of Phoenix-Central Valley Campus,Private for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (smaller programs),Full-time four-year- inclusive,High undergraduate,Small four-year- primarily nonresidential,-119.78993,36.858721000000003,,,0.0,
L'Ecole Culinaire,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-90.392161000000002,38.635396999999998,24183.0,24183.0,,
Roseman University of Health Sciences,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Other health professions schools,Not applicable- special focus institution,Majority graduate/professional,Not applicable- special focus institution,-115.06683500000001,36.072722999999996,,,,
Medvance Institute-Port Saint Lucie,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-80.307261999999994,27.303759000000003,23413.0,23413.0,,
Medvance Institute-Miami,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-80.341021999999995,25.702403,15304.0,15304.0,,
Aviation Institute of Maintenance-Manassas,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-77.514975000000007,38.793778000000003,23658.0,23658.0,,
Everest College-North Aurora,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-88.326080000000005,41.800109999999997,24305.0,24540.0,,
Cosmetology School of Arts and Sciences,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-113.79278799999999,42.546937999999997,,,,
Universal Technical Institute of Pennsylvania Inc,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-75.685132999999993,40.070512999999998,22458.0,22638.0,,
Heritage College-Kansas City,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-94.576786999999996,38.939585000000001,,7390.0,,
American Commercial College-Shreveport,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-93.70416800000001,32.480284999999995,,,,
Kenneth Shuler School of Cosmetology-Spartanburg,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-81.972727000000006,34.923365999999994,17885.0,,,
Kenneth Shuler School of Cosmetology-Columbia,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-81.087656999999993,34.033295000000003,,,,
